Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCD06,OUT045,2492.7
FDC15,OUT035,1090.5
DRD37,OUT027,622.52
FDT28,OUT027,3266.4
FDR28,OUT027,4314.3
FDT38,OUT017,697.75
FDV34,OUT027,801.62
FDY52,OUT035,1857.5
FDB34,OUT013,610.53
DRL23,OUT018,1332.9
DRB24,OUT046,4016.1
FDJ50,OUT046,1544.6
FDQ49,OUT035,2190.4
FDP20,OUT035,632.51
FDV19,OUT027,3086.6
NCR54,OUT045,3350.3
FDO09,OUT010,262.32
FDS57,OUT018,1418.1
FDN10,OUT049,2239
FDV23,OUT049,2530
FDY28,OUT049,3440.8
DRG51,OUT013,2696.4
FDD45,OUT019,190.41
NCL18,OUT027,5303
NCM29,OUT013,927.45
FDF17,OUT027,3163.8
FDE22,OUT017,3425.5
FDQ22,OUT017,1543.3
FDS01,OUT013,3440.8
FDW35,OUT027,484.7
FDJ33,OUT046,1609.9
NCF54,OUT035,1911.5
FDE09,OUT013,309.59
NCE06,OUT045,3425.5
DRH49,OUT049,247.67
FDY43,OUT045,2863.6
NCT05,OUT017,4346.3
FDZ34,OUT045,1910.8
FDL38,OUT017,2663.2
FDZ31,OUT017,4471.5
FDR14,OUT035,2597.2
NCN54,OUT049,1635.8
NCC42,OUT027,4963.5
FDK08,OUT017,595.22
FDP59,OUT013,623.18
FDV22,OUT035,3086.6
FDD33,OUT035,5141.3
DRE60,OUT027,7017.5
FDK52,OUT046,1805.6
FDA02,OUT017,729.05
FDM56,OUT049,1757.7
FDE57,OUT035,2388.2
FDM32,OUT045,181.09
NCQ30,OUT027,1864.2
FDQ27,OUT027,3095.9
FDT60,OUT027,4482.1
FDU43,OUT049,2908.2
NCO55,OUT035,2143.8
FDG02,OUT045,3463.4
FDJ28,OUT013,3861.6
FDP40,OUT045,1342.2
FDJ38,OUT045,4570
NCC54,OUT017,4097.3
NCZ41,OUT046,1398.8
FDK38,OUT019,447.41
FDU52,OUT013,2503.4
FDC40,OUT046,3012
NCR30,OUT017,1290.3
NCN18,OUT017,1901.5
FDB50,OUT035,1158.4
FDG04,OUT013,3542
FDR26,OUT035,2676.5
NCT17,OUT018,2449.4
FDX35,OUT027,4739.8
FDS12,OUT046,1761.7
NCZ29,OUT027,3115.9
FDB38,OUT010,303.6
FDP12,OUT013,1024.6
FDP22,OUT046,2290.3
FDS26,OUT018,7588.1
FDR52,OUT046,5159.2
DRJ13,OUT046,4332.3
FDU48,OUT027,3279
FDE29,OUT035,1514.6
NCT29,OUT049,2059.9
DRK37,OUT018,1496.7
FDK55,OUT046,2059.9
FDR07,OUT046,868.86
FDO21,OUT027,3837
FDK46,OUT049,3091.9
FDB12,OUT045,1973.4
FDT31,OUT027,6261.8
FDJ33,OUT045,1609.9
FDC26,OUT027,2074.6
NCQ02,OUT045,3542
FDP08,OUT010,565.26
FDB11,OUT027,7073.4
FDV55,OUT013,2783
FDW20,OUT049,1325.6
NCJ18,OUT019,479.37
FDC41,OUT018,1614.5
FDE14,OUT027,2430.1
FDG35,OUT013,1911.5
FDF45,OUT035,1733.7
FDS19,OUT027,2067.3
FDS58,OUT019,331.56
FDA26,OUT017,3685.8
FDM32,OUT049,181.09
FDL45,OUT046,373.51
FDZ55,OUT049,2727.7
FDY37,OUT049,3149.2
FDO46,OUT046,4727.1
FDQ60,OUT046,3219.8
FDA19,OUT018,2055.9
FDL15,OUT046,2947.4
FDM10,OUT018,3846.9
NCL05,OUT017,1255
DRK49,OUT010,41.945
NCE18,OUT027,6474.2
FDG40,OUT049,984.71
DRI59,OUT045,3001.4
FDK28,OUT035,5410.9
NCD06,OUT019,47.271
FDO11,OUT019,249
FDK27,OUT046,599.22
FDT43,OUT027,1034.6
FDD38,OUT018,295.61
FDA16,OUT049,2210.4
FDL14,OUT027,3723.1
NCM17,OUT049,970.73
FDD20,OUT045,2936.1
FDA40,OUT045,1797.6
FDL43,OUT045,2220.4
FDV15,OUT045,1922.8
FDE52,OUT046,703.08
NCL17,OUT010,874.86
NCJ31,OUT045,5061.4
FDR60,OUT045,1158.4
NCA18,OUT035,1621.8
FDS21,OUT027,2192.4
FDW09,OUT035,1438.1
FDL26,OUT035,2947.4
FDS47,OUT018,1707.7
FDC39,OUT046,3105.9
FDT51,OUT035,1677.8
FDK40,OUT035,3681.8
NCG19,OUT045,2812.3
FDZ07,OUT046,2143.8
FDF08,OUT027,3453.5
FDO04,OUT013,1534
FDK41,OUT018,3579.3
FDP15,OUT049,2914.8
NCD43,OUT018,958.75
NCP18,OUT013,994.7
FDZ51,OUT046,2174.5
DRH13,OUT035,1965.4
FDF38,OUT045,1296.3
NCI43,OUT045,1677.8
FDM38,OUT027,1125.8
FDS03,OUT013,1614.5
DRJ47,OUT017,1911.5
FDT50,OUT010,195.74
FDV02,OUT046,1867.5
NCG18,OUT017,1743
FDW52,OUT046,2609.9
FDS40,OUT035,622.52
FDN31,OUT017,2656.5
FDA37,OUT045,871.53
FDA15,OUT046,4229.1
FDL39,OUT046,1984.7
FDJ53,OUT045,1084.5
FDX22,OUT013,2103.9
NCZ42,OUT045,4740.4
FDD56,OUT027,4012.1
FDD40,OUT017,1154.4
FDS50,OUT013,4434.2
NCN14,OUT013,4028
FDT15,OUT013,2006.7
NCS18,OUT027,3057.3
NCO26,OUT010,455.4
FDF58,OUT018,1201.7
NCB19,OUT013,2406.2
FDH26,OUT017,6381.6
DRB24,OUT027,3281
FDA49,OUT018,591.89
FDB32,OUT045,1166.4
FDI36,OUT017,3535.3
NCA17,OUT010,151.13
FDH22,OUT013,2956.1
NCM26,OUT018,4287.7
FDT15,OUT027,7717.9
FDB16,OUT018,1133.8
NCP54,OUT027,4751.8
FDJ36,OUT013,2087.2
FDO28,OUT045,1807.6
FDU09,OUT013,3002.7
FDF29,OUT017,908.81
FDY08,OUT013,850.89
DRJ59,OUT018,767
FDT23,OUT027,1380.8
FDU15,OUT018,1296.3
FDT47,OUT013,3089.3
FDI53,OUT019,437.43
FDR59,OUT018,5494.8
FDD53,OUT035,671.12
FDY51,OUT017,4848.3
FDT04,OUT049,388.16
FDU51,OUT049,3896.2
FDG14,OUT035,4402.2
NCU06,OUT045,4364.3
DRG25,OUT046,4727.1
DRH49,OUT035,743.03
FDN15,OUT035,419.45
FDL43,OUT018,2512.7
NCT18,OUT049,5452.9
NCB31,OUT013,3444.8
FDK57,OUT035,3673.8
FDY04,OUT019,437.43
NCP54,OUT046,2059.9
FDF41,OUT013,3202.4
FDM01,OUT045,1230.3
FDW03,OUT045,1045.3
FDF28,OUT045,2544.6
FDY37,OUT017,3149.2
FDQ03,OUT017,3555.3
FDP51,OUT027,1621.8
FDJ40,OUT017,1960.7
FDC32,OUT049,1295.6
DRI49,OUT027,1004
NCW54,OUT017,2597.2
FDF09,OUT017,484.7
FDP45,OUT018,3542
DRJ23,OUT018,2816.3
FDS59,OUT017,2966.1
FDY08,OUT046,1685.8
FDX16,OUT049,2247
FDY16,OUT018,4649.9
FDK32,OUT035,4082.6
FDQ22,OUT013,1543.3
NCC31,OUT018,4016.1
FDG58,OUT049,1182.4
DRF48,OUT013,1496.7
DRH36,OUT049,2679.8
NCR30,OUT035,2450.1
FDB03,OUT019,761
FDZ28,OUT027,3020
FDR35,OUT017,1379.5
DRD15,OUT027,9267.9
FDJ33,OUT019,245.01
FDA56,OUT010,361.52
FDP56,OUT046,1576.6
NCT30,OUT046,759.01
FDK15,OUT017,1488
FDH44,OUT018,3384.2
FDV01,OUT013,3568
DRG03,OUT017,4921.5
FDG50,OUT027,2319.6
FDR16,OUT010,852.22
FDZ60,OUT046,1577.9
DRG03,OUT045,4921.5
FDS56,OUT018,3934.8
FDU33,OUT045,918.8
DRD27,OUT035,2281.6
FDW22,OUT046,1612.5
DRA24,OUT045,3439.5
FDF38,OUT049,1296.3
FDX48,OUT013,3782.4
FDS58,OUT018,2406.8
FDC32,OUT046,1295.6
NCQ29,OUT045,1506
DRK39,OUT018,1498
NCS38,OUT017,1946.7
DRO47,OUT013,1697.7
DRG27,OUT027,809.61
FDC57,OUT027,8912.3
FDS55,OUT046,2871.5
NCJ06,OUT018,2059.9
FDO01,OUT019,256.99
NCM55,OUT045,2656.5
FDC52,OUT049,2982.7
FDQ15,OUT045,239.68
NCT30,OUT027,1069.2
NCR42,OUT027,1281.6
FDD28,OUT035,1534
FDQ34,OUT049,2117.2
FDZ12,OUT027,2719.7
DRE13,OUT019,519.32
NCN07,OUT019,263.65
FDM28,OUT035,1984.7
FDI10,OUT017,3103.9
FDQ25,OUT013,2376.9
FDA38,OUT010,786.97
DRI13,OUT049,1947.4
FDY20,OUT027,2406.2
NCZ53,OUT035,3203.1
NCM31,OUT013,5296.4
DRB01,OUT017,1118.5
DRF37,OUT046,3418.8
NCF42,OUT049,2812.3
FDF16,OUT018,2808.3
FDB41,OUT013,2290.3
FDR34,OUT013,3643.2
FDR15,OUT018,3739.1
NCV42,OUT019,113.85
FDW51,OUT035,6291.8
FDU36,OUT017,886.84
FDX60,OUT049,1757.7
FDY03,OUT035,2348.9
FDW55,OUT045,998.7
FDT01,OUT010,621.19
FDG58,OUT013,1821.6
FDK21,OUT017,5976.2
NCS41,OUT019,182.42
FDS10,OUT045,4042.7
NCT53,OUT046,2302.3
FDJ28,OUT018,3861.6
FDX44,OUT045,1133.8
FDT20,OUT018,1024.6
FDO44,OUT017,3205.1
NCX17,OUT049,2812.3
FDY01,OUT017,1958.1
FDJ12,OUT027,5912.3
DRK35,OUT018,796.96
FDD47,OUT019,167.78
NCM53,OUT035,1857.5
FDO45,OUT013,1757.7
NCM42,OUT010,221.04
FDE04,OUT046,4889.6
NCI30,OUT027,2607.2
FDZ19,OUT013,2942.8
FDW57,OUT013,1948.1
FDA25,OUT013,1528
FDT22,OUT046,1677.8
FDP51,OUT013,1797.6
FDD48,OUT027,1864.2
FDY39,OUT035,4042.7
FDO48,OUT010,422.11
FDD23,OUT027,1653.8
DRN35,OUT027,796.96
FDT01,OUT035,1274.3
FDC20,OUT010,111.85
DRJ35,OUT035,2192.4
FDB32,OUT046,2816.3
FDL24,OUT046,1744.3
NCV42,OUT035,2732.4
FDZ46,OUT046,1901.5
FDC15,OUT013,1869.5
FDD08,OUT019,39.948
FDY50,OUT049,1221
FDD36,OUT013,1303.6
FDG57,OUT027,826.25
FDL21,OUT018,986.71
FDN16,OUT027,5093.3
FDJ09,OUT027,769.66
FDS01,OUT010,177.76
FDV33,OUT017,4133.2
DRE12,OUT017,1259.6
FDR07,OUT013,2799.6
FDP48,OUT010,1102.5
NCB55,OUT035,1677.8
FDQ08,OUT013,1754.3
FDR34,OUT035,5097.3
FDO33,OUT046,452.74
FDP13,OUT045,585.9
FDX12,OUT049,5287.7
NCT06,OUT049,1326.2
FDR16,OUT019,691.1
FDE36,OUT046,5077.3
FDZ36,OUT049,5779.1
FDV13,OUT045,703.08
NCZ17,OUT035,1480
FDU56,OUT045,4925.5
FDM09,OUT035,3103.9
FDV02,OUT017,1867.5
FDS34,OUT018,2348.9
FDA11,OUT049,1237.7
FDP09,OUT017,4701.8
FDB29,OUT027,1687.1
FDT19,OUT017,517.32
DRH15,OUT017,809.61
FDY38,OUT046,4633.9
FDF14,OUT027,1071.9
FDN48,OUT010,197.07
FDQ12,OUT013,2526.7
NCJ43,OUT045,2093.2
FDE17,OUT019,149.8
FDB05,OUT035,5410.9
FDH10,OUT045,1549.9
NCR06,OUT017,484.7
FDU32,OUT018,602.54
FDD56,OUT049,1050.6
FDO36,OUT018,3428.2
FDH16,OUT010,595.22
FDX10,OUT018,441.42
FDZ37,OUT017,1384.8
FDU31,OUT010,432.77
DRC49,OUT049,1150.5
FDL15,OUT045,2947.4
FDN32,OUT019,555.27
DRH59,OUT027,1290.3
NCU29,OUT049,2916.2
FDR37,OUT019,732.38
FDS14,OUT018,1571.2
FDU02,OUT027,7017.5
FDJ08,OUT035,2101.9
NCZ06,OUT045,2536.6
FDO31,OUT049,1438.1
FDH31,OUT018,1341.5
FDS58,OUT017,2567.3
NCA53,OUT027,631.84
FDF50,OUT046,1182.4
NCW42,OUT049,5369
NCQ17,OUT045,2934.8
FDK51,OUT018,3418.8
NCW41,OUT010,164.45
NCR29,OUT017,1145.1
FDB08,OUT019,160.45
FDA40,OUT027,1569.9
FDL14,OUT018,3427.5
FDB47,OUT046,3105.9
FDO03,OUT035,3435.5
DRK13,OUT019,197.07
FDX13,OUT010,884.18
FDF52,OUT046,4042.7
FDT11,OUT013,3605.3
FDB08,OUT013,2727.7
FDQ28,OUT018,2808.3
FDD29,OUT045,5834.4
NCQ29,OUT027,6705.2
NCO02,OUT013,2306.9
FDR56,OUT010,392.82
NCM54,OUT049,1108.5
FDP51,OUT035,2239
FDT38,OUT013,697.75
FDZ20,OUT018,4807
FDJ53,OUT013,2059.9
FDX13,OUT049,2490
FDP58,OUT035,4848.3
NCK31,OUT019,111.85
FDA35,OUT018,731.04
FDV37,OUT018,1186.4
NCO07,OUT027,793.63
FDA20,OUT045,3914.9
FDZ59,OUT035,3263.7
NCY17,OUT017,1120.5
FDQ28,OUT035,3089.3
FDV35,OUT017,2792.3
FDQ36,OUT013,934.78
FDD34,OUT018,2631.2
FDK51,OUT045,5034.7
FDV31,OUT035,1569.9
FDR04,OUT035,1134.5
FDR14,OUT049,2597.2
DRC36,OUT010,344.88
FDE39,OUT019,345.55
FDP57,OUT049,2343.6
FDE57,OUT046,1139.8
NCN18,OUT046,1901.5
NCQ05,OUT018,2916.2
FDW47,OUT035,3533.4
FDV46,OUT035,2936.1
NCP29,OUT045,918.8
FDE09,OUT018,958.75
NCU06,OUT027,8062.8
FDT19,OUT010,171.77
DRF15,OUT017,2659.8
DRI51,OUT013,3453.5
NCX54,OUT013,3658.5
DRE01,OUT013,3813.7
NCB07,OUT045,3259.7
FDU50,OUT035,1259.6
FDG40,OUT035,984.71
FDW10,OUT018,2117.2
FDX51,OUT013,1370.2
NCP17,OUT045,1857.5
FDP21,OUT035,3542
FDL04,OUT045,1065.2
FDV23,OUT013,605.87
FDF24,OUT046,1883.5
FDH56,OUT027,4124.6
FDB51,OUT049,2192.4
FDI58,OUT027,2588.6
FDR20,OUT013,2187.1
FDC51,OUT018,1231.7
FDB16,OUT027,1448.7
FDE40,OUT049,1033.3
NCM17,OUT035,970.73
FDU56,OUT035,4933.5
FDS32,OUT019,280.96
FDX02,OUT049,4950.8
FDT39,OUT027,1216.4
FDE35,OUT017,1125.8
NCI42,OUT019,213.05
DRL23,OUT046,2024
FDA10,OUT046,2586.6
FDA11,OUT013,958.75
NCM06,OUT046,1853.5
NCT05,OUT035,767
NCQ02,OUT010,551.28
NCY06,OUT049,2348.9
FDY56,OUT035,5416.9
FDL02,OUT035,3705.1
NCI06,OUT035,2822.9
FDQ14,OUT045,1901.5
FDQ12,OUT017,5764.4
FDP36,OUT046,2290.3
FDK21,OUT027,13086
FDO40,OUT045,1640.5
NCK54,OUT019,117.18
FDY09,OUT018,1593.9
NCW30,OUT049,4402.9
NCC55,OUT027,1042.6
FDE58,OUT018,1540.6
FDR39,OUT013,3101.2
FDU28,OUT049,2388.8
FDH08,OUT017,459.4
FDG35,OUT045,1911.5
FDG22,OUT049,768.99
FDC34,OUT035,4673.9
FDP15,OUT018,2045.3
FDK34,OUT010,621.19
FDU45,OUT035,2073.3
FDQ04,OUT027,1480
FDX22,OUT018,2103.9
FDB45,OUT017,2299.6
NCH43,OUT027,3419.5
DRE60,OUT046,3848.3
FDD17,OUT027,5704.5
NCM54,OUT017,1150.5
NCH55,OUT013,759.01
NCT06,OUT017,1326.2
FDA48,OUT027,4199.8
FDY58,OUT027,7017.5
FDO25,OUT045,2508.7
FDN50,OUT045,838.9
FDH35,OUT035,1151.1
FDK09,OUT045,5267.8
FDO16,OUT013,1414.8
FDW11,OUT045,1114.5
FDU47,OUT027,4350.3
NCQ42,OUT010,117.84
FDK55,OUT027,4189.2
FDN08,OUT049,824.92
FDT57,OUT045,6636.6
FDJ12,OUT018,2143.8
DRL59,OUT017,607.87
NCN53,OUT046,1693.7
FDO51,OUT010,135.82
FDK56,OUT017,2458.1
FDY12,OUT035,2290.3
FDU15,OUT035,1296.3
FDQ19,OUT046,969.4
DRF15,OUT045,2659.8
DRE25,OUT019,277.63
FDK57,OUT018,3673.8
FDD33,OUT010,262.32
FDR34,OUT027,3225.1
FDU04,OUT045,2924.1
FDE35,OUT019,311.59
NCD31,OUT035,2078.6
FDJ56,OUT035,998.7
NCU53,OUT046,2155.1
FDD39,OUT035,2372.9
NCU17,OUT019,103.19
FDJ20,OUT046,857.55
NCW41,OUT018,3327.6
FDL52,OUT035,910.81
FDS39,OUT035,3829
DRJ47,OUT045,1038.6
FDP13,OUT010,79.896
DRK39,OUT010,171.77
FDF28,OUT010,377.5
FDB09,OUT045,632.51
FDM51,OUT046,689.76
DRM49,OUT018,1318.2
DRF23,OUT013,2616.5
DRH01,OUT035,4344.3
FDH12,OUT027,3273.7
FDA28,OUT019,111.85
FDW37,OUT018,1617.8
FDF02,OUT046,1743
DRL37,OUT046,1096.5
NCF43,OUT046,1404.8
FDH08,OUT010,242.35
FDR34,OUT019,689.1
NCK19,OUT049,3099.9
NCD55,OUT018,293.61
FDT27,OUT049,4687.2
FDQ57,OUT045,2087.9
FDA47,OUT035,4586
DRG15,OUT027,2105.2
FDE05,OUT018,3384.2
FDN46,OUT046,1651.1
FDX27,OUT027,2516.7
FDT51,OUT045,1565.9
FDU33,OUT013,918.8
FDJ16,OUT027,1514.6
FDD20,OUT019,124.5
FDT36,OUT049,988.04
DRF15,OUT027,2471.4
FDN52,OUT010,259.66
FDC22,OUT027,5752.5
FDX15,OUT045,1283.6
FDT13,OUT013,2816.3
FDU04,OUT017,2924.1
FDU31,OUT019,215.71
FDW59,OUT027,1845.5
NCO29,OUT046,4769.1
FDL15,OUT035,2947.4
FDI41,OUT049,3645.2
FDQ48,OUT049,3013.4
DRI39,OUT013,2597.2
FDI08,OUT013,5727.2
FDC21,OUT049,1208.4
FDF58,OUT035,1201.7
FDS08,OUT010,358.2
FDE47,OUT045,1583.9
NCP18,OUT019,153.13
NCR41,OUT013,1686.4
FDA27,OUT013,2093.2
FDA43,OUT035,780.31
FDA49,OUT045,697.75
NCE55,OUT018,3896.2
DRM49,OUT027,1318.2
FDF22,OUT027,4327.7
FDQ15,OUT018,2030.6
NCS54,OUT017,4250.4
NCY05,OUT013,1058.6
FDR45,OUT046,6692.6
FDK57,OUT049,2059.9
FDF41,OUT010,237.69
FDV21,OUT046,3672.5
FDD51,OUT046,905.48
FDF33,OUT046,3020
FDA38,OUT046,3485.4
FDR56,OUT045,2936.1
NCN41,OUT017,2450.1
FDC60,OUT027,3301
FDB47,OUT045,2090.6
DRH01,OUT013,4180.5
FDW08,OUT046,1384.8
FDF38,OUT027,1296.3
FDY32,OUT017,4586
FDG34,OUT049,325.57
FDG47,OUT019,774.99
NCF18,OUT035,1719.7
FDL39,OUT019,344.88
NCH55,OUT035,3020
DRJ35,OUT049,1201.7
FDS44,OUT035,3845.6
DRE01,OUT018,3813.7
FDY39,OUT013,9069.5
FDY32,OUT018,4586
FDR33,OUT027,5351
NCP50,OUT049,639.16
FDZ47,OUT018,431.43
FDU57,OUT049,2106.5
FDY44,OUT013,1370.2
DRH59,OUT018,1290.3
FDB03,OUT027,7170.6
FDY46,OUT045,2816.3
FDM39,OUT045,3705.1
FDY36,OUT035,1171.8
NCM55,OUT035,4777.7
FDJ50,OUT010,276.3
DRL60,OUT013,2439.4
NCJ54,OUT049,6041.4
FDX59,OUT017,984.71
FDI07,OUT013,2946.1
DRF51,OUT010,79.896
FDM14,OUT017,970.73
FDP21,OUT045,3542
FDE40,OUT035,2105.2
FDE05,OUT035,1330.2
FDM13,OUT027,3279
FDC34,OUT027,5522.8
NCI55,OUT018,365.52
NCE43,OUT018,3124.5
FDW58,OUT018,335.56
FDG60,OUT045,2577.9
FDV31,OUT017,529.31
FDR47,OUT013,2324.9
FDM60,OUT019,42.611
NCF06,OUT018,5757.8
NCN26,OUT027,1659.1
FDQ59,OUT049,1845.5
FDF09,OUT046,484.7
NCS06,OUT017,5757.8
FDT44,OUT046,2239
FDI19,OUT017,4119.9
FDT22,OUT017,1677.8
NCF54,OUT027,5000.8
DRG25,OUT045,6897.6
FDB59,OUT017,2587.9
FDQ37,OUT017,4843.6
FDP56,OUT035,1576.6
FDW44,OUT035,2556.6
FDJ26,OUT010,435.43
FDU43,OUT018,2908.2
FDW33,OUT045,2876.2
NCX53,OUT027,4963.5
FDN56,OUT010,449.41
DRF15,OUT049,2659.8
FDO33,OUT017,1138.5
FDZ39,OUT010,203.73
NCJ19,OUT017,2748.4
FDU01,OUT035,3861.6
FDT12,OUT035,5191.2
NCM18,OUT018,2150.5
FDP19,OUT017,1761.7
NCR42,OUT049,1281.6
FDN10,OUT046,2239
FDG44,OUT017,1310.2
FDQ10,OUT046,2931.5
DRH13,OUT049,958.75
FDT52,OUT013,3435.5
FDM56,OUT045,1334.2
NCO43,OUT010,202.4
NCV29,OUT035,1955.4
NCF06,OUT013,5757.8
FDO50,OUT035,1653.8
FDT59,OUT013,4809.7
FDX40,OUT027,1480
FDE50,OUT017,5069.4
FDX51,OUT017,4364.9
NCD30,OUT018,1537.9
FDK15,OUT013,1488
FDL12,OUT045,1078.5
FDK46,OUT017,3091.9
DRH49,OUT010,79.23
FDQ57,OUT046,2087.9
FDY59,OUT017,925.46
FDO09,OUT018,6048.7
NCG30,OUT035,508.67
FDM09,OUT017,2886.2
NCN17,OUT027,2430.1
NCS42,OUT013,1308.2
FDD02,OUT019,575.91
FDE34,OUT013,2345.6
FDU38,OUT045,2324.9
FDB33,OUT046,2998
NCJ29,OUT017,1183.7
FDZ27,OUT035,1012
FDI40,OUT013,1105.8
FDG22,OUT013,768.99
FDT51,OUT017,1677.8
FDF20,OUT018,2182.4
FDV50,OUT035,1609.9
FDT02,OUT049,293.61
DRC49,OUT017,2467.4
FDF26,OUT049,1618.5
FDV52,OUT035,2607.2
FDX59,OUT049,984.71
FDV25,OUT035,5747.1
FDW23,OUT027,796.96
FDE53,OUT018,694.42
FDA19,OUT017,642.49
FDH22,OUT046,508.67
NCO41,OUT013,2596.6
FDX12,OUT017,3364.9
FDF17,OUT013,4364.9
FDS11,OUT045,3131.9
FDR51,OUT035,2407.5
FDT49,OUT010,170.44
FDC56,OUT013,3456.1
FDR13,OUT027,2277
FDQ60,OUT035,3219.8
FDN38,OUT049,6008.1
NCL29,OUT013,4436.8
FDO13,OUT027,2416.8
FDE26,OUT018,2745
FDA31,OUT010,174.43
FDX14,OUT035,1290.3
FDA34,OUT045,3635.2
FDF26,OUT013,1571.2
FDE38,OUT045,2886.2
DRI11,OUT046,2732.4
FDQ60,OUT027,2756.4
FDL21,OUT027,986.71
DRC12,OUT027,8912.3
FDC47,OUT046,2013.3
FDE57,OUT045,2552.6
FDT14,OUT045,3475.4
NCZ53,OUT046,3956.8
FDE28,OUT018,2864.9
FDR19,OUT035,2600.6
NCF54,OUT019,175.1
FDZ08,OUT046,1238.3
NCJ05,OUT018,3369.6
FDF59,OUT046,2024
NCO05,OUT035,2463.4
FDW24,OUT018,1992.7
NCX42,OUT018,5262.4
NCA53,OUT035,631.84
FDI45,OUT019,525.31
FDG46,OUT046,2732.4
FDM20,OUT010,480.7
FDW11,OUT010,165.78
FDX08,OUT035,1263
NCK17,OUT035,1358.2
FDK32,OUT018,4082.6
NCA42,OUT035,3169.2
DRI01,OUT035,2069.3
NCL55,OUT049,3735.1
DRE25,OUT018,1263.6
FDD14,OUT017,4426.2
FDB10,OUT046,3072.6
DRN11,OUT035,1451.4
FDP38,OUT018,1821.6
NCA30,OUT017,1890.8
FDT15,OUT017,2205.1
NCP55,OUT018,1733.7
FDF12,OUT035,2934.8
FDM21,OUT018,5424.9
FDX56,OUT035,3520
FDF10,OUT017,2207.1
FDT32,OUT045,2656.5
FDM51,OUT018,1341.5
NCR50,OUT018,4287.7
FDI19,OUT049,4119.9
FDX21,OUT017,2876.2
FDR31,OUT035,3089.9
FDY02,OUT013,1537.9
NCA29,OUT045,4637.9
NCX17,OUT046,897.49
FDM12,OUT045,1491.3
FDI53,OUT027,2888.2
NCU30,OUT049,1794.3
FDC56,OUT027,5351
FDK27,OUT018,927.45
NCK18,OUT017,2984.1
FDB52,OUT019,255
DRG25,OUT027,6239.8
FDZ13,OUT049,2109.2
FDB57,OUT019,451.41
FDR40,OUT046,2255.7
NCO14,OUT019,91.88
NCN19,OUT045,3463.4
FDQ28,OUT019,149.8
FDO13,OUT018,1498
FDK48,OUT013,231.69
FDU07,OUT018,1057.9
FDW20,OUT046,2956.1
FDV12,OUT010,102.53
FDH24,OUT013,1571.2
FDV59,OUT049,5660.6
FDK57,OUT045,2059.9
FDL16,OUT027,1120.5
NCQ17,OUT046,1544.6
FDJ15,OUT018,1665.8
FDX24,OUT049,2174.5
FDT47,OUT046,2396.8
FDT10,OUT049,2043.3
FDZ37,OUT018,1384.8
FDW43,OUT027,7393
DRN36,OUT017,1438.1
FDJ14,OUT045,2157.1
FDA32,OUT013,3255.7
FDJ38,OUT019,945.43
FDQ57,OUT017,1491.3
NCQ41,OUT019,192.41
FDG56,OUT049,2143.8
DRC13,OUT027,2783
FDV55,OUT035,4082.6
FDQ49,OUT045,2603.2
FDE29,OUT010,229.7
FDR03,OUT013,7247.2
FDD45,OUT049,2174.5
FDN38,OUT010,255.66
FDT56,OUT046,2143.2
FDT48,OUT045,2380.9
FDU03,OUT049,6157.3
FDC56,OUT010,117.84
NCO43,OUT027,2220.4
FDQ27,OUT017,2255.7
FDR03,OUT046,5366.3
DRH23,OUT010,107.85
FDG22,OUT045,768.99
NCJ42,OUT013,1693.7
FDR24,OUT046,1707.7
FDW60,OUT035,2999.4
FDJ08,OUT013,2101.9
DRL59,OUT018,607.87
FDG60,OUT010,884.18
FDW27,OUT017,1869.5
FDX14,OUT018,2277
FDC20,OUT013,2804.3
NCS29,OUT018,2914.8
FDJ56,OUT046,998.7
FDB20,OUT019,316.25
FDL28,OUT027,7350.4
FDW01,OUT018,1805.6
FDL03,OUT046,1977.4
FDX22,OUT049,2103.9
FDJ21,OUT035,3006
FDR31,OUT045,1618.5
FDG21,OUT035,3894.9
FDS22,OUT027,1296.3
FDK08,OUT035,809.61
FDE17,OUT018,4836.3
NCN30,OUT017,965.41
FDT50,OUT046,1342.2
NCX42,OUT049,1794.3
FDJ12,OUT035,2143.8
NCA18,OUT027,1924.1
FDP23,OUT019,452.74
FDX12,OUT013,5287.7
FDN40,OUT018,2153.1
FDV48,OUT035,1278.3
NCY54,OUT013,2586.6
FDL16,OUT010,47.271
FDR45,OUT018,4541.4
FDJ52,OUT046,2246.4
DRG01,OUT017,2278.3
FDP52,OUT013,4364.3
FDU58,OUT017,3203.1
FDL02,OUT045,1270.3
FDG28,OUT013,3920.2
FDA19,OUT035,3983.4
FDW46,OUT027,1597.9
NCD43,OUT049,1230.3
DRG39,OUT013,1992.7
NCF55,OUT049,767
FDJ07,OUT046,1747.7
FDE08,OUT046,4082.6
FDP56,OUT019,56.593
FDT45,OUT045,1209.7
FDF17,OUT018,3861.6
FDX44,OUT046,2051.9
FDM28,OUT027,6066.7
FDI36,OUT049,3757.1
FDS07,OUT045,2780.3
FDD36,OUT045,1191.7
FDW11,OUT046,1114.5
FDN40,OUT049,2153.1
NCQ18,OUT049,1428.1
NCQ54,OUT017,2358.2
NCS42,OUT045,2554
DRH39,OUT010,163.78
FDC09,OUT027,1948.1
FDT08,OUT010,473.38
FDC08,OUT035,1065.2
FDT20,OUT017,1024.6
FDS35,OUT035,1033.3
FDX58,OUT018,4195.8
FDW58,OUT046,1577.9
DRD27,OUT046,1686.4
